ID,Name,Country,Date of birth,Place of birth,Gold,Silver,Bronze,Event
7813,Cindy Carolina Rondon Martinez,DominicanRepublic,11/12/1987,Santo Domingo (DOM),0,0,0,Women's Volleyball
7814,Martyn Rooney,GreatBritain,4/3/1987,Croydon,0,0,0,"Men's 400m, Men's 4 x 400m Relay"
7815,Sean Rooney,USA,11/13/1982,Wheaton,0,0,0,Men's Volleyball
7816,Miryam Roper,Germany,6/26/1982,Aachen,0,0,0,Women's -57kg
7817,Chiara Rosa,Italy,1/28/1983,Camposampiero,0,0,0,Women's Shot Put
7818,David Joao Serralheiro Rosa,Portugal,11/12/1986,FATIMA (POR),0,0,0,Men's Cross-country
7819,Milangela Rosales,Venezuela,2/21/1987,Merida,0,0,0,Women's 20km Race Walk
7820,Paul Brian Rosario,Philippines,4/17/1982,Manila (PHI),0,0,0,Men's Skeet
7821,Danny Rose,GreatBritain,7/2/1990,,0,0,0,Men's Football
7822,Robert Rosengren,Sweden,10/17/1986,Husie (SWE),0,0,0,Men's 74kg Greco-Roman
7823,Sean Rosenthal,USA,6/19/1980,,0,0,0,Men's Beach Volleyball
7824,Nikola Rosic,Serbia,8/5/1984,Beograd (SRB),0,0,0,Men's Volleyball
7825,Maciej Rosiewicz,Georgia,7/31/1977,POLAND,0,0,0,Men's 50km Race Walk
7826,Ak Hafiy Tajuddin Rositi,BruneiDarussalam,7/4/1991,BANDAR SERI BEGAWAN (BRU),0,0,0,Men's 400m
7827,Denisa Rosolova,CzechRepublic,8/21/1986,Karvina (CZE),0,0,0,"Women's 400m Hurdles, Women's 4 x 400m Relay"
7828,Alicja Rosolska,Poland,12/1/1985,,0,0,0,Women's Doubles
7829,Husayn Rosowsky,GreatBritain,4/10/1991,,0,0,0,"Men's Individual Foil, Men's Team Foil"
7830,April Ross,USA,6/20/1982,,0,0,0,Women's Beach Volleyball
7831,Jane Ross,GreatBritain,9/18/1989,,0,0,0,Women's Football
7832,Jesse Ross,Australia,2/9/1990,SOUTH BRISBANE (AUS),0,0,0,Men's Middle (75kg)
7833,Joshua Ross,Australia,2/9/1981,CAMPERDOWN (AUS),0,0,0,Men's 4 x 100m Relay
7834,Kyla Ross,USA,10/24/1996,Honolulu,1,0,0,"Women's Team, Women's Qualification"
7835,Nicole Ross,USA,1/15/1989,,0,0,0,"Women's Individual Foil, Women's Team Foil"
7836,Reuben Ross,Canada,12/5/1985,Regina (CAN),0,0,0,Men's Synchronised 3m Springboard
7837,Matthieu Rosset,France,5/26/1990,Lyon,0,0,0,Men's 3m Springboard
7838,Jessica Rossi,Italy,1/7/1992,CENTO,0,0,0,Women's Trap
7839,Lucas Rossi,Argentina,6/2/1985,,0,0,0,Men's Hockey
7840,Sebastian Rossi,Argentina,2/12/1992,Buenos Aires (ARG),0,0,0,Men's Canoe Single (C1)
7841,Cristian Rosso,Argentina,1/29/1984,,0,0,0,Men's Double Sculls
7842,Kianoush Rostami,Iran,7/23/1991,KERMANSHAH (IRI),0,0,0,Men's 85kg
7843,Yasmine Mohmed Rostom,Egypt,7/25/1993,Alexandria,0,0,0,Individual All-Around
7844,Ioana Rotaru,Romania,1/4/1984,,0,0,0,Women's Eight
7845,Viktor Rothlin,Switzerland,10/14/1974,SARNEN,0,0,0,Men's Marathon
7846,Lydia Chebet Rotich,Kenya,8/8/1988,Keiyo (KEN),0,0,0,Women's 3000m Steeplechase
7847,Amina Rouba,Algeria,9/9/1986,,0,0,0,Women's Single Sculls
7848,Sebastien Rousseau,SouthAfrica,9/10/1990,Johannesburg (RSA),0,0,0,Men's 4x200m Freestyle Relay
7849,Jessica Roux,SouthAfrica,11/10/1992,PORT ELIZBETH (RSA),0,0,0,Women's 10km Marathon
7850,Ehsan Rouzbahani,Iran,6/23/1988,Tehran (IRI),0,0,0,Men's Light Heavy (81kg)
7851,Stephen Rowbotham,GreatBritain,11/11/1981,,0,0,0,Men's Quadruple Sculls
7852,Shannon Rowbury,USA,9/19/1984,San Francisco,0,0,0,Women's 1500m
7853,Luke Rowe,NewZealand,9/16/1991,,0,0,0,Men's Football
7854,Joanna Rowsell,GreatBritain,12/5/1988,Carshalton,0,0,0,Women's Team Pursuit
7855,Cristiane Rozeira de Souza Silva,Brazil,5/15/1985,,0,0,0,Women's Football
7856,Viktor Ruban,Ukraine,5/24/1981,Kharkiv,0,0,0,"Men's Individual, Men's Team"
7857,Artem Rubanko,Ukraine,3/21/1974,Kyiv,0,0,0,Men's Hammer Throw
7858,Giorgio Rubino,Italy,4/15/1986,Roma,0,0,0,Men's 20km Race Walk
7859,Elena Rublevska,Latvia,3/23/1976,Riga (LAT),0,0,0,Women's Modern Pentathlon
7860,Michal Ruciak,Poland,8/22/1983,SWINOUJCIE,0,0,0,Men's Volleyball
7861,Mikhail Ruday,Kazakhstan,5/4/1988,,0,0,0,Men's Water Polo
7862,Yekaterina Rudenko,Kazakhstan,10/16/1994,Almaty (KAZ),0,0,0,Women's 100m Backstroke
7863,David Lekuta Rudisha,Kenya,12/17/1988,TRANS MARA (KEN),0,0,0,Men's 800m
7864,Lizeth Rueda,Mexico,3/7/1994,GUADALAJARA (MEX),0,0,0,Women's 10km Marathon
7865,Anna Ruh,Germany,6/17/1993,GREIFSWALD,0,0,0,Women's Discus Throw
7866,Caroline Ruhnau,Germany,10/16/1984,MUNSTER,0,0,0,Women's 100m Breaststroke
7867,Diego Ruiz,Spain,2/5/1982,BURGOS (ESP),0,0,0,Men's 1500m
7868,Flor Ruiz,Colombia,1/29/1991,PRADERA (COL),0,0,0,Women's Javelin Throw
7869,Noel Ruiz,Cuba,1/18/1987,Santiago de Cuba (CUB),0,0,0,Men's 4 x 400m Relay
7870,Ursula Ruiz,Spain,8/11/1983,LORCA (ESP),0,0,0,Women's Shot Put
7871,Victor Ruiz,Spain,1/25/1989,,0,0,0,Men's Football
7872,Jose Ruiz Durango,Venezuela,1/22/1980,MARACAIBO,0,0,0,Men's Laser
7873,Jesse Ruiz Flores,Mexico,7/31/1985,Orange,0,0,0,Men's 120kg Freestyle
7874,Kelly Rulon,USA,8/16/1984,San Diego,0,0,0,Women's Water Polo
7875,Arnis Rumbenieks,Latvia,4/4/1988,Valmiera (LAT),0,0,0,Men's 20km Race Walk
7876,Aleksejs Rumjancevs,Latvia,2/13/1986,Riga (LAT),0,0,0,Men's Kayak Double (K2) 200m
7877,Henrik Rummel,USA,9/26/1987,,0,0,0,Men's Four
7878,Galen Rupp,USA,5/8/1986,Portland,0,0,0,"Men's 5000m, Men's 10,000m"
7879,Natalia Rusakova,Russia,12/12/1979,Leningrad,0,0,0,"Women's 200m, Women's 4 x 100m Relay"
7880,Amir Mustafa Rusli,Malaysia,2/5/1987,TERENGGANU (MAS),0,0,0,Men's Road Race
7881,Bianca Russell,NewZealand,7/4/1978,Takapuna (NZL),0,0,0,Women's Hockey
7882,Colin Russell,Canada,7/2/1984,Oshawa (CAN),0,0,0,"Men's 4x100m Freestyle Relay, Men's 4x200m Freestyle Relay"
7883,Shelley Russell,SouthAfrica,7/15/1987,Johannesburg (RSA),0,0,0,Women's Hockey
7884,Sinead Russell,Canada,6/15/1993,Oshawa (CAN),0,0,0,"Women's 100m Backstroke, Women's 200m Backstroke, Women's 4x100m Medley Relay"
7885,Clemente Russo,Italy,7/27/1982,,0,0,0,Men's Heavy (91kg)
7886,Pietro Ruta,Italy,8/6/1987,,0,0,0,Men's Lightweight Double Sculls
7887,Kristian Ruth,Norway,7/23/1985,Oslo (NOR),0,0,0,Men's Laser
7888,Greg Rutherford,GreatBritain,11/17/1986,MILTON KEYNES,0,0,0,Men's Long Jump
7889,Sally Rutherford,NewZealand,6/5/1981,Hamilton (NZL),0,0,0,Women's Hockey
7890,Andrew Rutherfurd,Bolivia,12/21/1988,California,0,0,0,Men's 100m Freestyle
7891,Alex Rutlidge,GreatBritain,11/12/1988,,0,0,0,Women's Water Polo
7892,Adam Rutter,Australia,12/24/1986,Sydney (AUS),0,0,0,Men's 20km Race Walk
7893,Antti Ruuskanen,Finland,2/21/1984,PIELAVESI (FIN),0,0,0,Men's Javelin Throw
7894,Vladislav Ryabtsev,Russia,12/13/1987,,0,0,0,Men's Quadruple Sculls
7895,Anton Ryakhov,Russia,5/29/1980,Tashkent (),0,0,0,Men's Kayak Double (K2) 1000m
7896,Deirdre Ryan,Ireland,6/1/1982,Dublin (IRL),0,0,0,Women's High Jump
7897,Marc Ryan,NewZealand,10/14/1982,TIMARU (NZL),0,0,1,Men's Team Pursuit
7898,Matthew Ryan,Australia,6/23/1984,,0,0,0,Men's Eight
7899,Michael Ryan,Ireland,4/3/1976,LIMERICK (IRL),0,0,0,"Individual Eventing, Team Eventing, BALLYLYNCH ADVENTURE"
7900,Chun Hwa Ryang,NorthKorea,6/12/1991,Pyongyang,0,0,1,Women's 48kg
7901,Andrei Rybakou,Belarus,3/4/1982,Mogilev,0,0,0,Men's 85kg
7902,Viktoriya Rybalko,Ukraine,10/26/1982,Dnipropetrovsk,0,0,0,Women's Long Jump
7903,Brian Ryckeman,Belgium,7/13/1984,OOSTENDE (BEL),0,0,0,Men's 10km Marathon
7904,Sean Ryder,GreatBritain,6/18/1987,Nottingham,0,0,0,Men's Water Polo
7905,Mariya Ryemyen,Ukraine,8/2/1987,DONETSK REGION,0,0,0,"Women's 200m, Women's 4 x 100m Relay"
7906,Daniela Ryf,Switzerland,5/29/1987,RUMISBERG,0,0,0,Women's Triathlon
7907,Olga Rypakova,Kazakhstan,11/30/1984,Ust Kamenogorsk (KAZ),0,0,0,Women's Triple Jump
7908,Sergji Rysenko,Ukraine,3/15/1980,LUGANSK,0,0,0,Men's Cross-country
7909,Eun Hee Ryu,SouthKorea,2/24/1990,,0,0,0,Women's Handball
7910,Seungmin Ryu,SouthKorea,8/5/1982,Seoul,0,0,0,Men's Team
7911,Lisa Ryzih,Germany,9/27/1988,Omsk,0,0,0,Women's Pole Vault
7912,Amine Rzig,Tunisia,8/25/1980,,0,0,0,Men's Basketball
7913,Radoslaw Kawecki,Poland,8/16/1991,GLOGOW,0,0,0,Men's 200m Backstroke
7914,Rafal Hejmej,Poland,7/15/1980,,0,0,0,Men's Eight
7915,Ranomi Kromowidjojo,Netherlands,8/20/1990,WINSUM (NED),1,1,0,"Women's 50m Freestyle, Women's 100m Freestyle, Women's 4x100m Freestyle Relay"
7916,Rares Dumitrescu,Romania,12/24/1983,,0,0,0,"Men's Individual Sabre, Men's Team Sabre"
7917,Raya Hatahet,Jordan,12/26/1989,Amman (JOR),0,0,0,Women's -49kg
7918,Remy Ebanega,Gabon,11/17/1989,,0,0,0,Men's Football
7919,Ren Hayakawa,Japan,8/24/1987,Anyang,0,0,1,"Women's Individual, Women's Team"
7920,Renata Plis,Poland,2/5/1985,Wroclaw,0,0,0,Women's 1500m
7921,Rene Herrera,Philippines,5/24/1979,"JORDAN, ILOILO (PHI)",0,0,0,Men's 5000m
7922,Revaz Lashkhi,Georgia,5/26/1988,Borjomi (GEO),0,0,0,Men's 60kg Greco-Roman
7923,Rhett Halkett,SouthAfrica,5/2/1986,,0,0,0,Men's Hockey
7924,Richard Davison,GreatBritain,9/20/1955,Nottingham,0,0,0,"Individual Dressage, ARTEMIS"
7925,Richard Gasquet,France,6/18/1986,,0,0,0,"Men's Singles, Men's Doubles"
7926,Richard Hortness,Canada,5/23/1985,London (CAN),0,0,0,Men's 4x100m Freestyle Relay
7927,Richard Hounslow,GreatBritain,12/19/1981,HARROW,0,1,0,"Men's Kayak (K1), Men's Canoe Double (C2)"
7928,Richard Kruse,GreatBritain,7/30/1983,,0,0,0,"Men's Individual Foil, Men's Team Foil"
7929,Riza Kayaalp,Turkey,10/10/1989,YOZGAT (TUR),0,0,0,Men's 120kg Greco-Roman
7930,Rob Parker,GreatBritain,12/4/1987,Cheltenham,0,0,0,Men's Water Polo
7931,Robert Harting,Germany,10/18/1984,Cottbus,0,0,0,Men's Discus Throw
7932,Robert Kubaczyk,Poland,8/4/1986,WOLSZTYN,0,0,0,Men's 4 x 100m Relay
7933,Robert Lathouwers,Netherlands,7/8/1983,Rotterdam (NED),0,0,0,Men's 800m
7934,Robyn Krista Gayle,Canada,10/31/1985,,0,0,0,Women's Football
7935,Roger Hudson,SouthAfrica,3/22/1978,Cape Town (RSA),0,0,0,Men's 470
7936,Romain Mesnil,France,6/13/1977,LE PLESSIS BOUCHARD,0,0,0,Men's Pole Vault
7937,Romana Labounkova,CzechRepublic,4/27/1989,Jesenik (CZE),0,0,0,Women's BMX
7938,Romuald Hausser,Switzerland,4/16/1988,Genève,0,0,0,Men's 470
7939,Ronald Forbes,CaymanIslands,4/5/1985,George Town (CAY),0,0,0,Men's 110m Hurdles
7940,Ronald Pognon,France,11/16/1982,PANTIN,0,0,0,Men's 4 x 100m Relay
7941,Rosalba Forciniti,Italy,2/13/1986,COSENZA,0,0,1,Women's -52kg
7942,Rosario la Mastra,Italy,1/2/1984,Catania,0,0,0,Men's 4 x 100m Relay
7943,Ross Davenport,GreatBritain,5/23/1984,DERBY,0,0,0,Men's 4x200m Freestyle Relay
7944,Ruoqi Hui,China,3/4/1991,Liaoning,0,0,0,Women's Volleyball
7945,Russell Ford,Australia,8/18/1983,,0,0,0,Men's Hockey
7946,Ruth Gbagbi,CoteIvoire,2/7/1994,Abidjan (CIV),0,0,0,Women's -67kg
7947,Ruy Fonseca,Brazil,6/9/1973,Sao Paulo (BRA),0,0,0,"Individual Eventing, Team Eventing, TOM BOMBADILL TOO"
7948,Ryan Hall,USA,10/14/1982,Kirkland,0,0,0,Men's Marathon
7949,Ryder Hesjedal,Canada,12/9/1980,Victoria (CAN),0,0,0,"Men's Individual Time Trial, Men's Road Race"
7950,Carolina S Borges-Mendelblatt,Portugal,5/25/1979,Rio De Janeiro (BRA),0,0,0,Women's RS-X
7951,Andre Sa,Brazil,5/6/1977,,0,0,0,Men's Doubles
7952,Jaehyouk Sa,SouthKorea,1/29/1985,Gangwon,0,0,0,Men's 77kg
7953,Ahmed Saad,Egypt,11/1/1986,FAYOUM,0,0,0,Men's 62kg
7954,Saadeldin Saad,Egypt,4/1/1989,,0,0,0,Men's Football
7955,Lucas Saatkamp,Brazil,3/6/1986,,0,0,0,Men's Volleyball
7956,Rustim Sabirkhouzine,Kazakhstan,1/4/1978,Moscow,0,0,0,Men's Modern Pentathlon
7957,Hamilton Sabot,France,5/31/1987,CAGNES SUR MER,0,0,0,"Men's Team, Men's Qualification"
7958,Victor Sada,Spain,3/8/1984,,0,0,0,Men's Basketball
7959,Mindaugas Sadauskas,Lithuania,6/14/1990,PANEVEZYS (LTU),0,0,0,Men's 100m Freestyle
7960,Grit Sadeiko,Estonia,7/29/1989,Tallinn (EST),0,0,0,Women's Heptathlon
7961,Urszula Sadkowska,Poland,2/6/1984,Olsztyn,0,0,0,Women's +78kg
7962,Nina Saeedyokota,Japan,3/2/1994,KIYOSE,0,0,0,Group All-Around
7963,Svetlana Saenko,Moldova,10/27/1982,SUMI,0,0,0,Women's 72kg Freestyle
7964,Stephen Saenz,Mexico,8/23/1990,McAllen,0,0,0,Men's Shot Put
7965,Lucie Safarova,CzechRepublic,2/4/1987,,0,0,0,"Women's Singles, Women's Doubles"
7966,Devid Safaryan,Armenia,8/1/1989,CHERKESK,0,0,0,Men's 66kg Freestyle
7967,Vazgen Safaryants,Belarus,10/22/1984,,0,0,0,Men's Light (60kg)
7968,Katerina Safrankova,CzechRepublic,6/8/1989,Kolin (CZE),0,0,0,Women's Hammer Throw
7969,Dmitriy Safronov,Russia,10/9/1981,Moscow,0,0,0,Men's Marathon
7970,Peter Sagan,Slovakia,1/26/1990,Zilina (SVK),0,0,0,Men's Road Race
7971,Nezir Sagir,Turkey,10/19/1983,ISPERIH,0,0,0,Men's 85kg
7972,Mojca Sagmeister,Slovenia,3/6/1996,Slovenj Gradec (SLO),0,0,0,"Women's 400m Freestyle, Women's 4x200m Freestyle Relay"
7973,Ramazan Sahin,Turkey,7/8/1983,DAGISTAN,0,0,0,Men's 66kg Freestyle
7974,Eliane Saholinirina,Madagascar,3/20/1982,BETSIAKA (MAD),0,0,0,Women's 1500m
7975,Tugce Sahutoglu,Turkey,5/1/1988,Mersin (TUR),0,0,0,Women's Hammer Throw
7976,Jaysuma Saidy Ndure,Norway,1/1/1984,Bakau (GAM),0,0,0,"Men's 100m, Men's 200m"
7977,Norikatsu Saikawa,Japan,3/11/1986,SANO,0,0,0,Men's 96kg Greco-Roman
7978,Verena Sailer,Germany,10/16/1985,ILLERTISSEN,0,0,0,"Women's 100m, Women's 4 x 100m Relay"
7979,David Sain,Croatia,2/8/1988,,0,1,0,Men's Quadruple Sculls
7980,Nyam-Ochir Sainjargal,Mongolia,7/20/1986,UVS PROVINCE (MGL),0,0,1,Men's -73kg
7981,Manabu Saito,Japan,4/4/1990,,0,0,0,Men's Football
7982,Takumi Saito,Japan,3/23/1993,KAITA,0,0,0,Men's 20km Race Walk
7983,Jean-Michel Saive,Belgium,11/17/1969,Liege (BEL),0,0,0,Men's Singles
7984,Pinar Saka,Turkey,11/5/1985,ISTANBUL / USKUDAR (TUR),0,0,0,"Women's 400m, Women's 4 x 400m Relay"
7985,Suraju Saka,Congo,5/5/1976,NIGERIA (NGR),0,0,0,Men's Singles
7986,Viacheslav Sakaev,Russia,1/12/1988,Novosibirsk,0,0,0,Men's 400m Hurdles
7987,Mizuho Sakaguchi,Japan,10/15/1987,,0,0,0,Women's Football
7988,Gotoku Sakai,Japan,3/14/1991,,0,0,0,Men's Football
7989,Hiroki Sakai,Japan,4/12/1990,,0,0,0,Men's Football
7990,Mariko Sakai,Japan,12/3/1990,GLEN ROCK,0,0,0,Women's Teams
7991,Haruna Sakakibara,Japan,3/11/1994,,0,0,0,Women's Single Sculls
7992,Rytis Sakalauskas,Lithuania,6/27/1987,Alytus (LTU),0,0,0,Men's 100m
7993,Naoya Sakamoto,Japan,6/29/1988,TANABE,0,0,0,Men's Canoe Single (C1) 200m
7994,Joy Nakhumicha Sakari,Kenya,6/6/1986,BUNGOMA (KEN),0,0,0,Women's 400m
7995,Saori Sakoda,Japan,12/18/1987,KAGOSHIMA,0,0,0,Women's Volleyball
7996,Irving Saladino,Panama,1/23/1983,Panama (PAN),0,0,0,Men's Long Jump
7997,Olha Saladuha,Ukraine,6/4/1983,Donetsk,0,0,0,Women's Triple Jump
7998,Evgeny Salakhov,Russia,1/25/1979,Ekaterinburg,0,0,0,"Men's Kayak Single (K1) 200m, Men's Kayak Double (K2) 1000m"
7999,Yuliana Salakhova,Russia,12/16/1984,Volgograd,0,0,0,Women's Kayak Single (K1) 500m
8000,Julio Cesar Salamanca Pineda,ElSalvador,7/15/1989,San Miguel,0,0,0,Men's 62kg
8001,Liana Salazar,Colombia,9/16/1992,,0,0,0,Women's Football
8002,Haboosh Salbookh Salbookh Alnofeli,Emirates,7/13/1989,,0,0,0,Men's Football
8003,Carlos Salcido,Mexico,4/2/1980,,0,0,0,Men's Football
8004,Silvana Saldarriaga,Peru,3/13/1993,TUMBES,0,0,0,Women's 63kg
8005,Ahmed Saleh,Egypt,11/14/1979,GIZA,0,0,0,Men's Team
8006,Saleh Saleh Gomaa,Egypt,8/1/1993,,0,0,0,Men's Football
8007,Behdad Salimikordasiabi,Iran,12/8/1989,GHAEMSHAHR (IRI),0,0,0,Men's +105kg
8008,Silvia Salis,Italy,9/17/1985,Genova,0,0,0,Women's Hammer Throw
8009,Marc Salles,Spain,5/6/1987,,0,0,0,Men's Hockey
8010,Ali Nadhim Salman Salman,Iraq,12/15/1981,BAGHDAD (IRQ),0,0,0,Men's 120kg Greco-Roman
8011,Laura Salminen,Finland,4/9/1987,SIPOO (FIN),0,0,0,Women's Modern Pentathlon
8012,Max Salminen,Sweden,9/22/1988,S:T PETERS (SWE),0,0,0,Men's Star
8013,Emanuela Salopek,Croatia,4/18/1987,,0,0,0,Women's Basketball
8014,Teodor Salparov,Bulgaria,8/16/1982,GABROVO (BUL),0,0,0,Men's Volleyball
8015,Kristina Saltanovic,Lithuania,2/20/1975,Vilnius (LTU),0,0,0,Women's 20km Race Walk
8016,Nino Salukvadze,Georgia,2/1/1969,Tbilisi (GEO),0,0,0,"Women's 10m Air Pistol, Women's 25m Pistol"
8017,Ilaria Salvatori,Italy,05/02/1979,,1,0,0,Women's Team Foil
8018,Hichem Samandi,Tunisia,8/13/1986,,0,0,0,Men's Individual Sabre
8019,Mohamed Samandi,Tunisia,8/13/1986,,0,0,0,Men's Individual Foil
8020,Elizabeta Samara,Romania,4/15/1989,Constanta,0,0,0,Women's Singles
8021,Stavroula Samara,Greece,7/8/1994,Thessaloniki (GRE),0,0,0,Group All-Around
8022,Mangala Samarakoon,SriLanka,8/26/1980,NUWARA ELIYA (SRI),0,0,0,"Men's 10m Air Rifle, Men's 50m Rifle Prone"
8023,Fatoumata Samassekou,Mali,12/31/1987,Abidjan (CIV),0,0,0,Women's 50m Freestyle
8024,Isabelle Sambou,Senegal,10/20/1980,MLOMP HAER (SEN),0,0,0,Women's 48kg Freestyle
8025,Luigi Samele,Italy,25/07/1987,,0,0,0,Men's Team Sabre
8026,Aya Sameshima,Japan,6/16/1987,,0,0,0,Women's Football
8027,Panagiotis Samilidis,Greece,8/9/1993,CHOLARGOS (GRE),0,0,0,"Men's 100m Breaststroke, Men's 200m Breaststroke"
8028,Jihane Samlal,Morocco,11/25/1983,DOLE,0,0,0,Women's Kayak (K1)
8029,Branislau Samoilau,Belarus,5/25/1985,BALKASHINO (KAZ),0,0,0,Men's Road Race
8030,Aleksandrs Samoilovs,Latvia,4/6/1985,,0,0,0,Men's Beach Volleyball
8031,Dane Kevin Sampson,Australia,8/20/1986,BLACKTOWN (AUS),0,0,0,"Men's 10m Air Rifle, Men's 50m Rifle Prone, Men's 50m Rifle 3 Positions"
8032,Vladimir Samsonov,Belarus,4/17/1976,Minsk,0,0,0,Men's Singles
8033,Jamile Samuel,Netherlands,4/24/1992,Amsterdam (NED),0,0,0,Women's 4 x 100m Relay
8034,Dani Samuels,Australia,5/26/1988,Fairfield (AUS),0,0,0,Women's Discus Throw
8035,Nicky Samuels,NewZealand,2/28/1983,Whangarei (NZL),0,0,0,Women's Triathlon
8036,Jessica Samuelsson,Sweden,3/14/1985,BOO (SWE),0,0,0,Women's Heptathlon
8037,Ni Lar San,Myanmar,10/7/1984,YANGON (MYA),0,0,0,Women's Marathon
8038,Fernando San Emeterio,Spain,1/1/1984,,0,0,0,Men's Basketball
8039,Ruben Sanca,CapeVerde,12/13/1986,CAPEVERD (CPV),0,0,0,Men's 5000m
8040,Benjamin Sanchez,Spain,3/10/1985,CIEZA (ESP),0,0,0,Men's 50km Race Walk
8041,Clara Sanchez,France,9/20/1983,MARTIGUES,0,0,0,"Women's Keirin, Women's Omnium"
8042,Eddermys Sanchez,Belize,3/25/1980,Sancti Spiritus (CUB),0,0,0,Men's -66kg
8043,Eder Sanchez,Mexico,5/21/1986,TLALNEPANTLA (MEX),0,0,0,Men's 20km Race Walk
8044,Etel Sanchez,Argentina,8/23/1989,ROSARIO,0,0,0,Women's Duets
8045,Felix Sanchez,DominicanRepublic,8/30/1977,New York,0,0,0,"Men's 400m Hurdles, Men's 4 x 400m Relay"
8046,Liborio Sanchez,Mexico,10/9/1989,,0,0,0,Men's Football
8047,Marielis Sanchez,DominicanRepublic,12/30/1988,Santo Domingo (DOM),0,0,0,Women's 200m
8048,Raysa Sanchez,DominicanRepublic,5/6/1988,Santo Domingo (DOM),0,0,0,Women's 400m
8049,Sergio Sanchez,Guatemala,8/22/1970,GUATEMALA CITY (GUA),0,0,0,"Men's 50m Pistol, Men's 10m Air Pistol"
8050,Sofia Sanchez,Argentina,8/23/1989,ROSARIO,0,0,0,Women's Duets
8051,Carlos Sanchez Estacio,Ecuador,7/25/1988,LOJA (ECU),0,0,0,Men's Welter (69kg)
8052,Julian Sanchez Gallegos,Mexico,8/22/1988,Mexico D.F. (MEX),0,0,0,Men's Synchronised 3m Springboard
8053,Luis Leon Sanchez Gil,Spain,11/24/1983,MULA (ESP),0,0,0,"Men's Individual Time Trial, Men's Road Race"
8054,Doyler Eustoquio Sanchez Guerrero,Colombia,10/12/1988,CUCUTA,0,0,0,Men's 69kg
8055,Rocio Sanchez Moccia,Argentina,8/2/1988,Buenos Aires (ARG),0,0,0,Women's Hockey
8056,Junior Antonio Sanchez Rivero,Venezuela,6/1/1989,Barquisimeto,0,0,0,Men's 69kg
8057,German Sanchez Sanchez,Mexico,6/24/1992,GUADALAJARA (MEX),0,1,0,"Men's 10m Platform, Men's Synchronised 10m Platform"
8058,Laura Sanchez Soto,Mexico,10/16/1985,GUADALAJARA (MEX),0,0,0,Women's 3m Springboard
8059,Janine Sandell,GreatBritain,12/7/1985,London,0,0,0,Women's Volleyball
8060,Niclas Sandells,Finland,3/14/1984,PIETARSAARI (FIN),0,0,0,Men's 1500m
8061,Gillian Sanders,SouthAfrica,10/15/1981,Johannesburg (RSA),0,0,0,Women's Triathlon
8062,Nicola Sanders,GreatBritain,6/23/1982,High Wycombe,0,0,0,Women's 4 x 400m Relay
8063,Keith Sanderson,USA,2/2/1975,Colorado Springs,0,0,0,Men's 25m Rapid Fire Pistol
8064,Manavjit Singh Sandhu,India,11/3/1976,AMRITSAR PUNJAB (IND),0,0,0,Men's Trap
8065,Madeleine Sandig,Germany,8/12/1983,Frankfurt Am Main,0,0,0,Women's Team Pursuit
8066,Leevan Sands,Bahamas,8/16/1981,Nassau (BAH),0,0,0,Men's Triple Jump
8067,Shamar Sands,Bahamas,4/30/1985,Nassau (BAH),0,0,0,Men's 110m Hurdles
8068,Abdoulaye Sane,Senegal,8/15/1992,,0,0,0,Men's Football
8069,Donald Sanford,Israel,2/5/1987,Los Angeles,0,0,0,Men's 400m
8070,Sumit Sangwan,India,1/1/1993,SHEKHUPURA SOHANA (IND),0,0,0,Men's Light Heavy (81kg)
8071,Kseniya Sankovich,Belarus,2/27/1990,Minsk,0,0,0,Group All-Around
8072,Pavel Sankovich,Belarus,6/29/1990,Grodno,0,0,0,"Men's 100m Butterfly, Men's 100m Backstroke"
8073,Uno Sanli,Sweden,1/5/1989,KLOSTER (SWE),0,0,0,Men's -58kg
8074,Suwaibou Sanneh,Gambia,10/30/1990,SOMA (GAM),0,0,0,Men's 100m
8075,Yuko Sano,Japan,7/26/1979,TAKATSUKI,0,0,0,Women's Volleyball
8076,Yumeka Sano,Japan,6/1/1985,FUJIKAWA,0,0,0,Women's 4 x 100m Relay
8077,Anna Santamans,France,4/25/1993,VERTE,0,0,0,Women's 50m Freestyle
8078,Rodrigo Santana,Brazil,4/17/1979,,0,0,0,Men's Volleyball
8079,Elisa Santoni,Italy,12/10/1987,Roma,0,0,0,Group All-Around
8080,Clarissa Santos,Brazil,3/10/1988,,0,0,0,Women's Basketball
8081,Luguelin Santos,DominicanRepublic,11/12/1992,BAYAGUANA (DOM),0,0,0,"Men's 400m, Men's 4 x 400m Relay"
8082,Marta Santos,Angola,12/25/1988,,0,0,0,Women's Handball
8083,Nicholas Santos,Brazil,2/14/1980,RIBEIRAO PRETO (BRA),0,0,0,Men's 4x100m Freestyle Relay
8084,Ricardo Santos,Brazil,1/6/1975,,0,0,0,Men's Beach Volleyball
8085,Ricardo Santos,Brazil,5/8/1980,Rio De Janeiro (BRA),0,0,0,Men's RS-X
8086,Rosangela Santos,Brazil,12/20/1990,WASHINGTON D.C (BRA),0,0,0,"Women's 100m, Women's 200m, Women's 4 x 100m Relay"
8087,Sergio Santos,Brazil,10/15/1975,,0,0,0,Men's Volleyball
8088,Telma Santos,Portugal,8/1/1983,PENICHE,0,0,0,Women's Singles
8089,Vera Santos,Portugal,12/3/1981,Santarém (POR),0,0,0,Women's 20km Race Walk
